中国电信-福建-酒店,#genre#
CCTV1,http://110.81.206.138:49231/tsfile/live/23001_1.m3u8
CCTV2,http://110.81.206.138:49231/tsfile/live/23002_1.m3u8
CCTV3,http://110.81.206.138:49231/tsfile/live/23003_1.m3u8
CCTV4,http://110.81.206.138:49231/tsfile/live/23004_1.m3u8
CCTV5,http://110.81.206.138:49231/tsfile/live/23005_1.m3u8
CCTV6,http://110.81.206.138:49231/tsfile/live/23006_1.m3u8
CCTV7,http://110.81.206.138:49231/tsfile/live/23007_1.m3u8
CCTV8,http://110.81.206.138:49231/tsfile/live/23008_1.m3u8
CCTV9,http://110.81.206.138:49231/tsfile/live/23009_1.m3u8
CCTV10,http://110.81.206.138:49231/tsfile/live/23010_1.m3u8
CCTV11,http://110.81.206.138:49231/tsfile/live/23011_1.m3u8
CCTV12,http://110.81.206.138:49231/tsfile/live/23012_1.m3u8
CCTV13,http://110.81.206.138:49231/tsfile/live/23013_1.m3u8
CCTV14,http://110.81.206.138:49231/tsfile/live/23014_1.m3u8
CCTV15,http://110.81.206.138:49231/tsfile/live/23015_1.m3u8
CGTN,http://110.81.206.138:49231/tsfile/live/23016_1.m3u8
CCTV17,http://110.81.206.138:49231/tsfile/live/23017_1.m3u8
CCTV5+,http://110.81.206.138:49231/tsfile/live/23018_1.m3u8
凤凰资讯,http://110.81.206.138:49231/tsfile/live/23019_1.m3u8
凤凰中文,http://110.81.206.138:49231/tsfile/live/23020_1.m3u8
东南卫视,http://110.81.206.138:49231/tsfile/live/23021_1.m3u8
海峡卫视,http://110.81.206.138:49231/tsfile/live/23022_1.m3u8
福建综合,http://110.81.206.138:49231/tsfile/live/23023_1.m3u8
福建公共,http://110.81.206.138:49231/tsfile/live/23024_1.m3u8
福建新闻,http://110.81.206.138:49231/tsfile/live/23025_1.m3u8
福建电视剧,http://110.81.206.138:49231/tsfile/live/23026_1.m3u8
福建旅游,http://110.81.206.138:49231/tsfile/live/23027_1.m3u8
福建经济生活,http://110.81.206.138:49231/tsfile/live/23028_1.m3u8
福建体育,http://110.81.206.138:49231/tsfile/live/23029_1.m3u8
福建少儿,http://110.81.206.138:49231/tsfile/live/23030_1.m3u8
福建教育,http://110.81.206.138:49231/tsfile/live/23031_1.m3u8
厦门卫视,http://110.81.206.138:49231/tsfile/live/23032_1.m3u8
湖南卫视,http://110.81.206.138:49231/tsfile/live/23034_1.m3u8
上海卫视,http://110.81.206.138:49231/tsfile/live/23035_1.m3u8
浙江卫视,http://110.81.206.138:49231/tsfile/live/23036_1.m3u8
江苏卫视,http://110.81.206.138:49231/tsfile/live/23037_1.m3u8
北京卫视,http://110.81.206.138:49231/tsfile/live/23038_1.m3u8
湖北卫视,http://110.81.206.138:49231/tsfile/live/23039_1.m3u8
广东卫视,http://110.81.206.138:49231/tsfile/live/23040_1.m3u8
深圳卫视,http://110.81.206.138:49231/tsfile/live/23041_1.m3u8
辽宁卫视,http://110.81.206.138:49231/tsfile/live/23042_1.m3u8
吉林卫视,http://110.81.206.138:49231/tsfile/live/23043_1.m3u8
黑龙江卫视,http://110.81.206.138:49231/tsfile/live/23044_1.m3u8
天津卫视,http://110.81.206.138:49231/tsfile/live/23045_1.m3u8
河北卫视,http://110.81.206.138:49231/tsfile/live/23046_1.m3u8
河南卫视,http://110.81.206.138:49231/tsfile/live/23047_1.m3u8
山东卫视,http://110.81.206.138:49231/tsfile/live/23048_1.m3u8
四川卫视,http://110.81.206.138:49231/tsfile/live/23049_1.m3u8
重庆卫视,http://110.81.206.138:49231/tsfile/live/23050_1.m3u8
贵州卫视,http://110.81.206.138:49231/tsfile/live/23051_1.m3u8
安徽卫视,http://110.81.206.138:49231/tsfile/live/23052_1.m3u8
江西卫视,http://110.81.206.138:49231/tsfile/live/23053_1.m3u8
云南卫视,http://110.81.206.138:49231/tsfile/live/23054_1.m3u8
广西卫视,http://110.81.206.138:49231/tsfile/live/23055_1.m3u8
海南卫视,http://110.81.206.138:49231/tsfile/live/23056_1.m3u8
甘肃卫视,http://110.81.206.138:49231/tsfile/live/23059_1.m3u8
青海卫视,http://110.81.206.138:49231/tsfile/live/23062_1.m3u8
金鹰卡通,http://110.81.206.138:49231/tsfile/live/23065_1.m3u8
卡酷少儿,http://110.81.206.138:49231/tsfile/live/23066_1.m3u8
哈哈炫动,http://110.81.206.138:49231/tsfile/live/23067_1.m3u8
